OBJECTID;Neighborhood;LAPD_Cost;LAPD_Days_in_Jail;LAPD_Arrests;LASD_Cost;LASD_Days_in_Jail;LASD_Arrests;F2010_Population;Combo_Cost;Combo_Cost_PerPop;Combo_Days;Combo_Days_PerPop;Combo_Arrests;Combo_Arrests_PerPop;spa;sup_dist;SHAPE_Length;SHAPE_Area
191;South Pasadena;22294;97;57;103695;615;69;25616;125989;4,91837E+14;712;2,77951E+14;126;4,9188E+14;SPA 3 - San Gabriel;District 5;1,3525E+14;8,64607E+14
192;South San Gabriel;17008;74;45;1617490;11294;379;11163;1634498;1,46421E+14;11368;1,01836E+14;424;3,79826E+14;SPA 3 - San Gabriel;District 1;2,10379E+14;3,58844E+13
193;South San Jose Hills;25512;111;55;5007710;32835;2047;19703;5033222;2,55455E+13;32946;1,67213E+14;2102;1,06684E+14;SPA 3 - San Gabriel;District 1;1,35303E+14;3,75234E+14
194;South Whittier;115380;502;236;11288400;73147;4971;57102;11403780;1,99709E+14;73649;1,28978E+14;5207;9,11877E+14;SPA 7 - East;District 4;2,39266E+14;1,35672E+14
195;Stevenson Ranch;20915;91;55;501642;3082;290;9279;522557;5,63161E+14;3173;3,41955E+14;345;3,71807E+14;SPA 2 - San Fernando;District 5;2,32591E+14;7,90656E+14
196;Studio City;543801;2366;1374;233485;1432;136;34695;777286;2,24034E+14;3798;1,09468E+12;1510;4,35221E+13;SPA 2 - San Fernando;District 5;2,25835E+14;1,59694E+14
197;Sunland;489559;2130;961;514636;3468;172;17032;1004195;5,89593E+14;5598;3,28675E+13;1133;6,65218E+14;SPA 2 - San Fernando;District 5;1,85998E+14;1,01527E+12
198;Sun Valley;3857635;16784;7864;1399860;9389;486;78863;5257495;6,66662E+13;26173;3,31879E+14;8350;1,0588E+14;SPA 2 - San Fernando;District 3;2,2121E+14;2,3881E+14
199;Sun Village;27581;120;56;4650590;32279;1169;8052;4678171;5,80995E+14;32399;4,02372E+14;1225;1,52136E+14;SPA 1 - Antelope Valley;District 5;2,8062E+14;2,60262E+14
200;Sylmar;3183054;13849;6391;2087420;13934;752;78893;5270474;6,68053E+14;27783;3,52161E+14;7143;9,05404E+13;SPA 2 - San Fernando;District 3;3,45129E+13;3,16005E+13
201;Tarzana;941654;4097;2083;492751;3310;169;35593;1434405;4,03002E+14;7407;2,08103E+14;2252;6,32709E+14;SPA 2 - San Fernando;District 3;2,3402E+13;2,22598E+14
202;Temple City;39303;171;92;2202580;14560;852;35048;2241883;6,39661E+14;14731;4,20309E+14;944;2,69345E+14;SPA 3 - San Gabriel;District 5;1,85313E+14;1,00714E+14
203;Toluca Lake;126412;550;300;34336;174;35;9724;160748;1,65311E+13;724;7,4455E+13;335;3,44508E+14;SPA 2 - San Fernando;District 5;8,1568E+14;3,08203E+14
204;Topanga;42980;187;113;344686;2172;177;6151;387666;6,30249E+13;2359;3,83515E+14;290;4,71468E+14;SPA 2 - San Fernando;District 3;4,14996E+14;4,86783E+14
205;Torrance;335566;1460;768;2766540;17881;1237;144402;3102106;2,14824E+14;19341;1,33939E+14;2005;1,38848E+14;SPA 8 - South Bay;District 4;4,02874E+14;5,19187E+14
